SERVICE REQUEST #,DATE RECEIVED,LOT LOCATION,DANGEROUS OR HAZARDOUS?,Dangerous flag,OPEN OR BOARDED?,Open flag,ENTRY POINT,VACANT OR OCCUPIED?,Vacant flag,VACANT DUE TO FIRE?,Fire flag,ANY PEOPLE USING PROPERTY?,In use flag,ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,Full Address,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,Location
11-03695025,08/30/2011,Front,,2,Open,1,FRONT,Vacant,1,,0,,0,7021,S,LAFAYETTE,ST,60621,7021 S LAFAYETTE ST chicago IL 60621,1177060.5987961,1858297.74997651,41.766505987868086,-87.62656243152692,"41.766505987868086,-87.62656243152692"
11-03695115,08/30/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,4730,S,TRIPP,AVE,60632,4730 S TRIPP AVE chicago IL 60632,1148822.62982205,1872926.62468092,41.80724003532068,-87.72968969963654,"41.80724003532068,-87.72968969963654"
11-03695344,08/30/2011,Front,,2,Open,1,BACK DOOR,Vacant,1,1,1,1,1,6438,S,FRANCISCO,AVE,60629,6438 S FRANCISCO AVE chicago IL 60629,1158153.61417305,1861812.43561938,41.77655622878012,-87.6957684417024,"41.77655622878012,-87.6957684417024"
11-03695364,08/30/2011,Front,,2,Open,1,?,Vacant,1,,0,1,1,7620,S,OGLESBY,AVE,60649,7620 S OGLESBY AVE chicago IL 60649,1193191.48980431,1854895.89881629,41.75679210764199,-87.56754856821179,"41.75679210764199,-87.56754856821179"
11-03695397,08/30/2011,Rear,,2,Open,1,BACK DOOR,Vacant,1,1,1,1,1,6442,S,FRANCISCO,AVE,60629,6442 S FRANCISCO AVE chicago IL 60629,1158154.41417305,1861785.63561938,41.776482669412,-87.6957662373169,"41.776482669412,-87.6957662373169"
11-03695442,08/30/2011,Garage,,2,Open,1,,Vacant,1,1,1,1,1,6454,S,FRANCISCO,AVE,60629,6454 S FRANCISCO AVE chicago IL 60629,1158156.67850098,1861705.062791,41.77626151979599,-87.69576012625018,"41.77626151979599,-87.69576012625018"
11-03695462,08/30/2011,Rear,,2,Open,1,,Vacant,1,1,1,1,1,6452,S,FRANCISCO,AVE,60629,6452 S FRANCISCO AVE chicago IL 60629,1158156.37850098,1861718.462791,41.776298297447106,-87.69576086184038,"41.776298297447106,-87.69576086184038"
11-03695718,08/30/2011,Front,,2,Open,1,WINDOWS AND DOORS,Vacant,1,,0,1,1,3701,W,57TH,PL,60629,3701 W 57TH PL chicago IL 60629,1152682.13812966,1866227.15133409,41.788780447383424,-87.71571056045417,"41.788780447383424,-87.71571056045417"
11-03695793,08/30/2011,Front,,2,Open,1,FRONT DOOR WIDE OPEN,Vacant,1,,0,,0,6425,S,FRANCISCO,AVE,60629,6425 S FRANCISCO AVE chicago IL 60629,1158151.11417305,1861899.73561938,41.77679584351455,-87.69577523394793,"41.77679584351455,-87.69577523394793"
11-03695799,08/30/2011,Front,,2,Open,1,FRONT DOOR,Vacant,1,,0,,0,6423,S,FRANCISCO,AVE,60629,6423 S FRANCISCO AVE chicago IL 60629,1158150.71417305,1861913.23561938,41.77683289761123,-87.69577633343057,"41.77683289761123,-87.69577633343057"
11-03695822,08/30/2011,Rear,,2,Open,1,SIDE DOOR OPEN,Vacant,1,,0,,0,6456,S,FRANCISCO,AVE,60629,6456 S FRANCISCO AVE chicago IL 60629,1158157.07850098,1861691.562791,41.77622446569561,-87.69575902678253,"41.77622446569561,-87.69575902678253"
11-03695851,08/30/2011,Front,,2,Boarded,0,,Vacant,1,,0,,0,3015,N,OAK PARK,AVE,60634,3015 N OAK PARK AVE chicago IL 60634,1130564.70788611,1919290.72627404,41.93480242903221,-87.7955904602069,"41.93480242903221,-87.7955904602069"
11-03695902,08/30/2011,Garage,,2,Open,1,GARAGE IS OPEN AND CATS IS IN THE GARAGE AND IT IS A LOT OF THEM THAT IS HAVING MORE KITTENS AND CAUSING A PROBLEM FOR THE NEIGHBORS,Vacant,1,,0,,0,2841,S,KILBOURN,AVE,60623,2841 S KILBOURN AVE chicago IL 60623,1146856.85007555,1884724.02371918,41.8396514577147,-87.73659917064244,"41.8396514577147,-87.73659917064244"
11-03695923,08/30/2011,Front,,2,Open,1,REAR DOOR & WINDOWS.,Vacant,1,,0,,0,5614,S,HONORE,ST,60636,5614 S HONORE ST chicago IL 60636,1164976.77456591,1867448.80777737,41.79188161770091,-87.67059571226338,"41.79188161770091,-87.67059571226338"
