request_number,date_received,location_on_lot,dangerous_or_hazardous,dangerous,open_or_boarded,open,entry_point,vacant_or_occupied,vacant_flag,vacant_due_to_fire,fire_flag,people_using_property,in_use_flag,address_street_num,address_street_dir,address_street_name,address_street_suffix,zip_code,full_address,x_coordinate,y_coordinate,latitude,longitude,location,the_geom,area_number,community_area,neigh_number,neighborhood
11-00456759,2011-03-21 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,13300,S,BUFFALO,AVE,60633,13300 S BUFFALO AVE chicago IL 60633,1200093.82418562,1817379.92148807,41.6536735804014,-87.5435143028768,"41.65367358040141,-87.54351430287676",01010000204FE58A002CD4FDD2DD4F324164A4E6EB23BB3B41,55,HEGEWISCH,80,Hegewisch
11-00779096,2011-04-12 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,13559,S,AVENUE O,,60633,13559 S AVENUE O  chicago IL 60633,1201080.97997416,1815539.14998583,41.6485974208498,-87.5399644045253,"41.64859742084981,-87.53996440452528",01010000204FE58A002896DFFAB8533241AB786526F3B33B41,55,HEGEWISCH,80,Hegewisch
11-01121284,2011-04-25 00:00:00,,,2,,2,,,2,,0,,0,13248,S,BUFFALO,AVE,60633,13248 S BUFFALO AVE chicago IL 60633,1200090.57509834,1817722.37778356,41.6546134008146,-87.5435147102239,"41.65461340081459,-87.54351471022387",01010000204FE58A0012A53993DA4F3241636CB6607ABC3B41,55,HEGEWISCH,80,Hegewisch
11-01600529,2011-05-10 00:00:00,Front,,2,Open,1,FRONT,Vacant,1,,0,,0,12656,S,SAGINAW,AVE,60633,12656 S SAGINAW AVE chicago IL 60633,1196083.85812147,1821569.12998836,41.6652691557537,-87.5580484556774,"41.66526915575369,-87.55804845567738",01010000204FE58A0042D9ADDB33403241CBEA462181CB3B41,55,HEGEWISCH,80,Hegewisch
11-01833145,2011-05-17 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,2656,E,127TH,ST,60633,2656 E 127TH ST chicago IL 60633,1196012.75812147,1821354.82998836,41.6646828462578,-87.5583157021188,"41.664682846257776,-87.5583157021188",01010000204FE58A00A83F14C2EC3F3241FE1D7AD4AACA3B41,55,HEGEWISCH,80,Hegewisch
11-00147931,2011-01-31 00:00:00,Front,,2,Boarded,0,,Vacant,1,,0,1,1,10430,S,WALDEN,PKWY,60643,10430 S WALDEN PKWY chicago IL 60643,1165541.92850304,1835469.96772728,41.7041150919978,-87.6694281545195,"41.7041150919978,-87.66942815451951",01010000204FE58A000F60B2EDE5C831419BF9BCF7CD013C41,72,BEVERLY,14,Beverly
11-02952187,2011-06-15 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,10432,S,WALDEN,PKWY,60643,10432 S WALDEN PKWY chicago IL 60643,1165540.92850304,1835457.16772728,41.7040799878336,-87.6694321777013,"41.70407998783355,-87.66943217770128",01010000204FE58A000F60B2EDE4C83141CE2CF02AC1013C41,72,BEVERLY,14,Beverly
12-00559527,2012-03-05 00:00:00,Front,,2,Open,1,OPEN,Vacant,1,,0,,0,10442,S,CLAREMONT,AVE,60643,10442 S CLAREMONT AVE chicago IL 60643,1162567.9991089,1835327.52240205,41.7037865961781,-87.6803221841488,"41.70378659617811,-87.68032218414879",01010000204FE58A00D399C5FF47BD31410824BC853F013C41,72,BEVERLY,14,Beverly
11-03460815,2011-07-26 00:00:00,,,2,,2,,,2,,0,,0,10007,S,LONGWOOD,DR,60643,10007 S LONGWOOD DR chicago IL 60643,1165655.50900949,1838312.52712705,41.7119131360409,-87.6689319294571,"41.71191313604086,-87.66893192945713",01010000204FE58A0029724E8257C9314161CCF186E80C3C41,72,BEVERLY,14,Beverly
11-00195363,2011-02-07 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,2215,W,95TH,ST,60643,2215 W 95TH ST chicago IL 60643,1163367.4000675,1841610.19810651,41.7210106297535,-87.6772196090082,"41.72101062975353,-87.67721960900818",01010000204FE58A00DDD26A6667C03141B61BB732CA193C41,72,BEVERLY,14,Beverly
11-00230075,2011-02-10 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,1909,W,95TH,ST,60643,1909 W 95TH ST chicago IL 60643,1165312.62758811,1841661.82230465,41.7211113914455,-87.6700931686326,"41.72111139144554,-87.67009316863259",01010000204FE58A00489DA9A000C83141BB8E82D2FD193C41,72,BEVERLY,14,Beverly
